from,to,value,for_embedding
200039_s_at,201114_x_at,1.75,849.86
200039_s_at,201170_s_at,-1.578,1.578
200039_s_at,201197_at,0.73,0.73
200039_s_at,201201_at,1.049,849.86
200039_s_at,201236_s_at,0.733,0.733
200039_s_at,201342_at,1.747,849.86
200039_s_at,201395_at,0.967,0.967
200039_s_at,201397_at,-0.727,0.727
200039_s_at,201479_at,1.861,849.86
200039_s_at,201508_at,0.405,0.405
200039_s_at,201710_at,-0.729,0.729
200039_s_at,201795_at,-0.618,0.618
200039_s_at,201897_s_at,-2.209,2.209
200039_s_at,202109_at,-1.578,1.578
200039_s_at,202117_at,-3.281,3.281
200039_s_at,202188_at,-0.729,0.729
200039_s_at,202270_at,1.962,1.962
200039_s_at,202307_s_at,-2.29,2.29
200039_s_at,202409_at,0.405,0.405
200039_s_at,202580_x_at,-0.727,0.727
200039_s_at,202613_at,2.329,849.86
200039_s_at,202666_s_at,1.861,849.86
200039_s_at,202705_at,1.349,849.86
200039_s_at,202779_s_at,-0.618,0.618
200039_s_at,202858_at,-1.578,1.578
200039_s_at,202870_s_at,-0.729,0.729
200039_s_at,202954_at,-0.905,0.905
200039_s_at,203022_at,-0.618,0.618
200039_s_at,203071_at,0.405,0.405
200039_s_at,203214_x_at,-1.15,1.15
200039_s_at,203249_at,0.405,0.405
200039_s_at,203266_s_at,-1.578,1.578
200039_s_at,203276_at,-1.073,1.073
200039_s_at,203296_s_at,0.405,0.405
200039_s_at,203345_s_at,-1.222,1.222
200039_s_at,203405_at,-0.905,0.905
200039_s_at,203432_at,1.049,849.86
200039_s_at,203594_at,-1.749,1.749
200053_at,200773_x_at,4.222,849.86
200053_at,200810_s_at,2.114,2.114
200053_at,200811_at,-3.026,3.026
200053_at,200855_at,1.722,1.722
200053_at,200996_at,1.722,1.722
200053_at,201104_x_at,-1.912,1.912
200053_at,201196_s_at,1.283,1.283
200053_at,201197_at,-1.347,1.347
200053_at,201263_at,-1.548,1.548
200053_at,201281_at,-1.285,1.285
200053_at,201395_at,1.241,1.241
200053_at,201455_s_at,-2.548,2.548
200053_at,201557_at,-2.527,2.527
200053_at,201591_s_at,-3.222,3.222
200053_at,201663_s_at,5.299,5.299
200053_at,201664_at,-5.628,5.628
200053_at,201930_at,-2.663,2.663
200053_at,201977_s_at,-2.378,849.86
200053_at,202109_at,1.711,1.711
200053_at,202117_at,1.722,1.722
200053_at,202338_at,-1.347,1.347
200053_at,202589_at,-1.356,1.356
200053_at,202725_at,-2.378,849.86
200053_at,202808_at,-1.964,1.964
200053_at,202815_s_at,-1.831,1.831
200053_at,202858_at,3.38,3.38
200053_at,202954_at,1.204,1.204
200053_at,203188_at,2.208,849.86
200053_at,203208_s_at,1.283,1.283
200053_at,203214_x_at,1.283,1.283
200053_at,203265_s_at,4.222,849.86
200053_at,203358_s_at,-1.227,1.227
200053_at,203362_s_at,-1.347,1.347
200053_at,203418_at,-1.886,1.886
200053_at,203625_x_at,1.47,1.47
200053_at,203693_s_at,-1.718,1.718
200079_s_at,200628_s_at,-2.07,2.07
200079_s_at,200670_at,1.557,1.557
200079_s_at,200687_s_at,-6.085,849.86
200079_s_at,200811_at,1.602,1.602
200079_s_at,200822_x_at,-1.232,1.232
200079_s_at,201041_s_at,-0.788,0.788
200079_s_at,201088_at,-1.232,1.232
200079_s_at,201104_x_at,1.602,1.602
200079_s_at,201114_x_at,-1.232,1.232
200079_s_at,201197_at,1.41,1.41
200079_s_at,201236_s_at,1.557,1.557
200079_s_at,201266_at,-1.865,1.865
200079_s_at,201394_s_at,1.602,1.602
200079_s_at,201397_at,-1.179,1.179
200079_s_at,201455_s_at,1.602,1.602
200079_s_at,201557_at,1.602,1.602
200079_s_at,201591_s_at,1.602,1.602
200079_s_at,201663_s_at,5.087,5.087
200079_s_at,201664_at,-4.313,4.313
200079_s_at,201685_s_at,1.602,1.602
200079_s_at,201694_s_at,-0.788,0.788
200079_s_at,202088_at,-0.788,0.788
200079_s_at,202117_at,-3.8,3.8
200079_s_at,202370_s_at,-6.085,849.86
200079_s_at,202371_at,-0.788,0.788
200079_s_at,202580_x_at,-1.179,1.179
200079_s_at,202589_at,1.557,1.557
200079_s_at,202690_s_at,-4.906,4.906
200079_s_at,202705_at,-1.232,1.232
200079_s_at,202954_at,-1.179,1.179
200079_s_at,203046_s_at,-1.865,1.865
200079_s_at,203187_at,1.602,1.602
200079_s_at,203208_s_at,1.41,1.41
200079_s_at,203223_at,-0.788,0.788
200079_s_at,203345_s_at,-1.865,1.865
200079_s_at,203358_s_at,1.557,1.557
200079_s_at,203405_at,-1.179,1.179
200079_s_at,203428_s_at,-1.232,1.232
200079_s_at,203438_at,0.853,0.853
200079_s_at,203439_s_at,0.853,0.853
200079_s_at,203625_x_at,-2.07,2.07
200628_s_at,200687_s_at,-2.07,2.07
200628_s_at,200710_at,1.47,1.47
200628_s_at,200740_s_at,-1.282,1.282
200628_s_at,200811_at,-1.734,1.734
200628_s_at,200840_at,-1.2,1.2
200628_s_at,200853_at,1.931,1.931
200628_s_at,200854_at,-1.2,1.2
200628_s_at,200855_at,2.028,2.028
200628_s_at,200996_at,2.028,2.028
200628_s_at,201088_at,-1.2,1.2
200628_s_at,201114_x_at,-1.2,1.2
200628_s_at,201124_at,1.45,1.45
200628_s_at,201140_s_at,-1.865,1.865
200628_s_at,201170_s_at,-1.159,1.159
200628_s_at,201195_s_at,0.892,0.892
200628_s_at,201197_at,1.047,1.047
200628_s_at,201201_at,-1.2,1.2
200628_s_at,201263_at,-1.282,1.282
200628_s_at,201291_s_at,0.892,0.892
200628_s_at,201342_at,-1.2,1.2
200628_s_at,201384_s_at,1.45,1.45
200628_s_at,201394_s_at,-1.734,1.734
200628_s_at,201591_s_at,-1.734,1.734
200628_s_at,201663_s_at,-10.159,10.159
200628_s_at,201664_at,5.803,5.803
200628_s_at,201685_s_at,-1.734,1.734
200628_s_at,201770_at,-1.282,1.282
200628_s_at,201897_s_at,1.931,1.931
200628_s_at,201930_at,-2.047,2.047
200628_s_at,201977_s_at,1.47,1.47
200628_s_at,202105_at,1.47,1.47
200628_s_at,202109_at,-1.159,1.159
200628_s_at,202117_at,2.028,2.028
200628_s_at,202174_s_at,5.836,5.836
200628_s_at,202233_s_at,-2.047,2.047
200628_s_at,202270_at,-2.777,2.777
200628_s_at,202307_s_at,-1.495,1.495
200628_s_at,202338_at,1.047,1.047
200628_s_at,202370_s_at,-2.07,2.07
200628_s_at,202613_at,-1.2,1.2
200628_s_at,202690_s_at,1.931,1.931
200628_s_at,202725_at,1.47,1.47
200628_s_at,202808_at,1.45,1.45
200628_s_at,202815_s_at,1.45,1.45
200628_s_at,202854_at,-1.282,1.282
200628_s_at,202858_at,-1.159,1.159
200628_s_at,202954_at,-1.482,1.482
200628_s_at,202962_at,-1.865,1.865
200628_s_at,203126_at,0.892,0.892
200628_s_at,203145_at,0.892,0.892
200628_s_at,203266_s_at,-1.159,1.159
200628_s_at,203362_s_at,1.047,1.047
200628_s_at,203405_at,-1.482,1.482
200628_s_at,203418_at,-2.047,2.047
200628_s_at,203432_at,-1.2,1.2
200628_s_at,203438_at,0.756,0.756
200628_s_at,203439_s_at,-1.211,1.211
200628_s_at,203463_s_at,0.892,0.892
200628_s_at,203625_x_at,6.924,849.86
200639_s_at,200740_s_at,-1.351,1.351
200639_s_at,200822_x_at,-1.578,1.578
200639_s_at,200855_at,1.269,1.269
200639_s_at,200996_at,1.269,1.269
200639_s_at,201170_s_at,1.067,849.86
200639_s_at,201195_s_at,-0.459,0.459
200639_s_at,201196_s_at,-1.346,1.346
200639_s_at,201291_s_at,-0.459,0.459
200639_s_at,201327_s_at,-1.578,1.578
200639_s_at,201384_s_at,0.915,0.915
200639_s_at,201394_s_at,1.567,1.567
200639_s_at,201397_at,1.744,1.744
200639_s_at,201455_s_at,1.051,1.051
200639_s_at,201479_at,-1.578,1.578
200639_s_at,201584_s_at,-1.578,1.578
200639_s_at,201663_s_at,8.731,8.731
200639_s_at,201664_at,-6.393,6.393
200639_s_at,201761_at,2.683,849.86
200639_s_at,201833_at,1.463,849.86
200639_s_at,201977_s_at,1.711,1.711
200639_s_at,202109_at,2.434,849.86
200639_s_at,202117_at,1.269,1.269
200639_s_at,202174_s_at,-3.195,3.195
200639_s_at,202200_s_at,-1.578,1.578
200639_s_at,202270_at,-0.951,0.951
200639_s_at,202307_s_at,2.308,2.308
200639_s_at,202580_x_at,1.264,1.264
200639_s_at,202589_at,-1.099,1.099
200639_s_at,202666_s_at,-1.578,1.578
200639_s_at,202705_at,-1.578,1.578
200639_s_at,202725_at,3.38,3.38
200639_s_at,202815_s_at,-0.783,0.783
200639_s_at,202858_at,2.434,849.86
200639_s_at,202954_at,2.031,2.031
200639_s_at,203126_at,-0.459,0.459
200639_s_at,203145_at,-0.459,0.459
200639_s_at,203208_s_at,-1.346,1.346
200639_s_at,203214_x_at,-1.346,1.346
200639_s_at,203265_s_at,-1.718,1.718
200639_s_at,203266_s_at,1.067,849.86
200639_s_at,203405_at,1.771,1.771
200639_s_at,203428_s_at,-1.578,1.578
200639_s_at,203438_at,0.797,0.797
200639_s_at,203463_s_at,-0.459,0.459
200639_s_at,203554_x_at,-1.578,1.578
200639_s_at,203625_x_at,-1.159,1.159
200639_s_at,203693_s_at,2.683,849.86
200670_at,200687_s_at,1.557,1.557
200670_at,200710_at,-1.356,1.356
200670_at,200740_s_at,-1.486,1.486
200670_at,200840_at,0.733,0.733
200670_at,200853_at,-1.884,1.884
200670_at,200854_at,0.733,0.733
200670_at,200855_at,1.412,1.412
200670_at,200996_at,1.412,1.412
200670_at,201077_s_at,-1.705,1.705
200670_at,201088_at,0.733,0.733
200670_at,201104_x_at,3.135,3.135
200670_at,201114_x_at,0.733,0.733
200670_at,201115_at,-1.705,1.705
200670_at,201124_at,-0.835,0.835
200670_at,201140_s_at,-2.257,2.257
200670_at,201170_s_at,-1.099,1.099
200670_at,201195_s_at,-0.807,0.807
200670_at,201196_s_at,-1.369,1.369
200670_at,201201_at,0.733,0.733
200670_at,201236_s_at,1.762,849.86
200670_at,201263_at,-1.486,1.486
200670_at,201266_at,-1.705,1.705
200670_at,201281_at,1.308,1.308
200670_at,201291_s_at,-0.807,0.807
200670_at,201342_at,0.733,0.733
200670_at,201397_at,1.375,1.375
200670_at,201455_s_at,2.603,2.603
200670_at,201557_at,3.135,3.135
200670_at,201663_s_at,2.996,2.996
200670_at,201664_at,-3.13,3.13
200670_at,201770_at,-1.339,1.339
200670_at,201896_s_at,-1.705,1.705
200670_at,201897_s_at,-1.884,1.884
200670_at,201930_at,1.346,1.346
200670_at,201977_s_at,-1.227,1.227
200670_at,202011_at,1.892,1.892
200670_at,202105_at,-1.227,1.227
200670_at,202109_at,-1.099,1.099
200670_at,202117_at,1.412,1.412
200670_at,202174_s_at,-3.05,3.05
200670_at,202233_s_at,1.047,1.047
200670_at,202270_at,0.595,0.595
200670_at,202307_s_at,-0.933,0.933
200670_at,202370_s_at,1.557,1.557
200670_at,202580_x_at,1.7,1.7
200670_at,202589_at,1.7,849.86
200670_at,202590_s_at,1.892,1.892
200670_at,202613_at,0.733,0.733
200670_at,202690_s_at,-1.884,1.884
200670_at,202725_at,-1.356,1.356
200670_at,202754_at,-1.705,1.705
200670_at,202815_s_at,-0.835,0.835
200670_at,202854_at,-1.339,1.339
200670_at,202962_at,-1.901,1.901
200670_at,203046_s_at,-1.705,1.705
200670_at,203126_at,-0.807,0.807
200670_at,203145_at,-0.807,0.807
200670_at,203187_at,2.603,2.603
200670_at,203208_s_at,-1.369,1.369
200670_at,203214_x_at,-1.369,1.369
200670_at,203276_at,-1.705,1.705
200670_at,203345_s_at,-1.705,1.705
200670_at,203358_s_at,1.7,849.86
200670_at,203380_x_at,1.308,1.308
200670_at,203418_at,1.047,1.047
200670_at,203432_at,0.733,0.733
200670_at,203438_at,1.766,1.766
200670_at,203439_s_at,-0.712,0.712
200670_at,203463_s_at,-0.807,0.807
200670_at,203594_at,-1.705,1.705
200687_s_at,200795_at,-0.788,0.788
200687_s_at,200811_at,1.602,1.602
200687_s_at,200853_at,-4.906,4.906
200687_s_at,200996_at,-3.8,3.8
200687_s_at,201104_x_at,1.602,1.602
200687_s_at,201115_at,-1.865,1.865
200687_s_at,201236_s_at,1.557,1.557
200687_s_at,201327_s_at,-1.232,1.232
200687_s_at,201342_at,-1.232,1.232
200687_s_at,201394_s_at,1.602,1.602
200687_s_at,201397_at,-1.179,1.179
200687_s_at,201455_s_at,1.602,1.602
200687_s_at,201557_at,1.602,1.602
200687_s_at,201591_s_at,1.602,1.602
200687_s_at,201663_s_at,5.087,5.087
200687_s_at,201664_at,-4.313,4.313
200687_s_at,201685_s_at,1.602,1.602
200687_s_at,201978_s_at,-0.788,0.788
200687_s_at,202200_s_at,-1.232,1.232
200687_s_at,202338_at,1.41,1.41
200687_s_at,202370_s_at,-6.085,849.86
200687_s_at,202580_x_at,-1.179,1.179
200687_s_at,202589_at,1.557,1.557
200687_s_at,202613_at,-1.232,1.232
200687_s_at,202666_s_at,-1.232,1.232
200687_s_at,202754_at,-1.865,1.865
200687_s_at,202954_at,-1.179,1.179
200687_s_at,203066_at,-0.788,0.788
200687_s_at,203130_s_at,-0.788,0.788
200687_s_at,203187_at,1.602,1.602
200687_s_at,203214_x_at,1.41,1.41
200687_s_at,203276_at,-1.865,1.865
200687_s_at,203347_s_at,-0.788,0.788
200687_s_at,203358_s_at,1.557,1.557
200687_s_at,203405_at,-1.179,1.179
200687_s_at,203432_at,-1.232,1.232
200687_s_at,203438_at,0.853,0.853
200687_s_at,203439_s_at,0.853,0.853
200687_s_at,203625_x_at,-2.07,2.07
200710_at,200855_at,1.722,1.722
200710_at,200996_at,1.722,1.722
200710_at,201104_x_at,-3.222,3.222
200710_at,201124_at,-1.285,1.285
200710_at,201140_s_at,1.241,1.241
200710_at,201196_s_at,-1.347,1.347
200710_at,201197_at,1.283,1.283
200710_at,201236_s_at,-1.227,1.227
200710_at,201263_at,-2.663,2.663
200710_at,201281_at,-1.964,1.964
200710_at,201394_s_at,-1.912,1.912
200710_at,201557_at,-3.026,3.026
200710_at,201591_s_at,-2.548,2.548
200710_at,201663_s_at,5.299,5.299
200710_at,201664_at,-5.628,5.628
200710_at,201685_s_at,-2.527,2.527
200710_at,201761_at,1.711,1.711
200710_at,201833_at,3.38,3.38
200710_at,201977_s_at,4.222,849.86
200710_at,202105_at,4.222,849.86
200710_at,202117_at,1.722,1.722
200710_at,202338_at,1.283,1.283
200710_at,202580_x_at,1.204,1.204
200710_at,202590_s_at,-1.831,1.831
200710_at,202725_at,2.208,849.86
200710_at,202854_at,-1.886,1.886
200710_at,202858_at,-1.718,1.718
200710_at,202962_at,2.114,2.114
200710_at,203188_at,-2.378,849.86
200710_at,203208_s_at,-1.347,1.347
200710_at,203214_x_at,-1.347,1.347
200710_at,203265_s_at,-2.378,849.86
200710_at,203362_s_at,1.283,1.283
200710_at,203418_at,-1.548,1.548
200740_s_at,200783_s_at,-0.524,0.524
200740_s_at,200811_at,2.319,2.319
200740_s_at,201170_s_at,-1.468,1.468
200740_s_at,201202_at,-0.524,0.524
200740_s_at,201236_s_at,-1.339,1.339
200740_s_at,201263_at,5.004,849.86
200740_s_at,201292_at,-0.524,0.524
200740_s_at,201397_at,-1.313,1.313
200740_s_at,201663_s_at,-4.267,4.267
200740_s_at,201664_at,3.566,3.566
200740_s_at,201710_at,-0.524,0.524
200740_s_at,201755_at,-0.524,0.524
200740_s_at,201770_at,3.92,849.86
200740_s_at,201790_s_at,-0.524,0.524
200740_s_at,201791_s_at,-0.524,0.524
200740_s_at,201795_at,-0.524,0.524
200740_s_at,201890_at,-0.524,0.524
200740_s_at,201896_s_at,-0.963,0.963
200740_s_at,201930_at,1.794,849.86
200740_s_at,201970_s_at,-0.524,0.524
200740_s_at,201977_s_at,-1.886,1.886
200740_s_at,202095_s_at,-0.524,0.524
200740_s_at,202107_s_at,-0.524,0.524
200740_s_at,202174_s_at,-1.858,1.858
200740_s_at,202188_at,-0.524,0.524
200740_s_at,202233_s_at,2.194,849.86
200740_s_at,202240_at,-0.524,0.524
200740_s_at,202276_at,-0.524,0.524
200740_s_at,202307_s_at,1.889,1.889
200740_s_at,202487_s_at,-0.524,0.524
200740_s_at,202503_s_at,-0.524,0.524
200740_s_at,202589_at,1.047,1.047
200740_s_at,202590_s_at,-2.537,2.537
200740_s_at,202725_at,-2.663,2.663
200740_s_at,202779_s_at,-0.524,0.524
200740_s_at,202854_at,3.92,849.86
200740_s_at,202870_s_at,-0.524,0.524
200740_s_at,203022_at,-0.524,0.524
200740_s_at,203046_s_at,-0.963,0.963
200740_s_at,203139_at,-0.524,0.524
200740_s_at,203188_at,-1.548,1.548
200740_s_at,203213_at,-0.524,0.524
200740_s_at,203287_at,-0.524,0.524
200740_s_at,203345_s_at,-0.963,0.963
200740_s_at,203358_s_at,1.346,1.346
200740_s_at,203418_at,1.794,849.86
200740_s_at,203422_at,-0.524,0.524
200740_s_at,203438_at,-1.705,1.705
200740_s_at,203439_s_at,0.974,0.974
200740_s_at,203484_at,-0.524,0.524
200740_s_at,203560_at,-0.524,0.524
200740_s_at,203625_x_at,-2.047,2.047
200740_s_at,203696_s_at,-0.524,0.524
200773_x_at,200810_s_at,1.241,1.241
200773_x_at,200855_at,1.722,1.722
200773_x_at,200996_at,1.722,1.722
200773_x_at,201104_x_at,-2.548,2.548
200773_x_at,201124_at,-1.964,1.964
200773_x_at,201196_s_at,1.283,1.283
200773_x_at,201197_at,-1.347,1.347
200773_x_at,201394_s_at,-3.222,3.222
200773_x_at,201395_at,2.114,2.114
200773_x_at,201455_s_at,-2.527,2.527
200773_x_at,201663_s_at,5.299,5.299
200773_x_at,201664_at,-5.628,5.628
200773_x_at,201685_s_at,-3.026,3.026
200773_x_at,201833_at,-1.718,1.718
200773_x_at,202011_at,-1.285,1.285
200773_x_at,202105_at,-2.378,849.86
200773_x_at,202109_at,3.38,3.38
200773_x_at,202117_at,1.722,1.722
200773_x_at,202338_at,-1.347,1.347
200773_x_at,202589_at,-1.227,1.227
200773_x_at,202725_at,-2.378,849.86
200773_x_at,202808_at,-1.831,1.831
200773_x_at,202854_at,-1.548,1.548
200773_x_at,203187_at,-1.912,1.912
200773_x_at,203188_at,4.222,849.86
200773_x_at,203208_s_at,1.283,1.283
200773_x_at,203214_x_at,1.283,1.283
200773_x_at,203265_s_at,2.208,849.86
200773_x_at,203266_s_at,1.711,1.711
200773_x_at,203358_s_at,-1.356,1.356
200773_x_at,203362_s_at,-1.347,1.347
200773_x_at,203405_at,1.204,1.204
200773_x_at,203418_at,-2.663,2.663
200773_x_at,203625_x_at,1.47,1.47
200783_s_at,200855_at,0.804,0.804
200783_s_at,201201_at,-0.618,0.618
200783_s_at,201263_at,-0.524,0.524
200783_s_at,201327_s_at,-0.729,0.729
200783_s_at,201663_s_at,1.385,1.385
200783_s_at,201664_at,-2.267,2.267
200783_s_at,201770_at,-0.524,0.524
200783_s_at,201790_s_at,0.654,849.86
200783_s_at,201896_s_at,0.73,0.73
200783_s_at,201897_s_at,-0.687,0.687
200783_s_at,201930_at,-0.524,0.524
200783_s_at,202117_at,1.168,1.168
200783_s_at,202233_s_at,-0.524,0.524
200783_s_at,202240_at,0.295,849.86
200783_s_at,202276_at,0.654,849.86
200783_s_at,202503_s_at,0.361,849.86
200783_s_at,202690_s_at,-0.6,0.6
200783_s_at,202854_at,-0.524,0.524
200783_s_at,203139_at,0.295,849.86
200783_s_at,203287_at,0.361,849.86
200783_s_at,203418_at,-0.524,0.524
200783_s_at,203432_at,-0.729,0.729
200783_s_at,203554_x_at,-0.618,0.618
200795_at,200840_at,0.405,0.405
200795_at,200854_at,0.405,0.405
200795_at,200855_at,-0.897,0.897
200795_at,201077_s_at,-0.493,0.493
200795_at,201124_at,-0.462,0.462
200795_at,201201_at,0.405,0.405
200795_at,201281_at,-0.462,0.462
200795_at,201291_s_at,0.45,0.45
200795_at,201384_s_at,-0.462,0.462
200795_at,201479_at,0.405,0.405
200795_at,201508_at,0.318,849.86
200795_at,201584_s_at,0.405,0.405
200795_at,201663_s_at,-1.197,1.197
200795_at,201664_at,1.229,1.229
200795_at,201896_s_at,-0.493,0.493
200795_at,201978_s_at,0.258,849.86
200795_at,202011_at,-0.462,0.462
200795_at,202307_s_at,0.407,0.407
200795_at,202590_s_at,-0.462,0.462
200795_at,202808_at,-0.462,0.462
200795_at,202815_s_at,-0.462,0.462
200795_at,203130_s_at,0.258,849.86
200795_at,203223_at,0.318,849.86
200795_at,203380_x_at,-0.462,0.462
200795_at,203463_s_at,0.225,0.225
200795_at,203554_x_at,0.405,0.405
200795_at,203594_at,-0.493,0.493
200810_s_at,200811_at,-5.954,5.954
200810_s_at,200840_at,0.967,0.967
200810_s_at,200853_at,1.325,1.325
200810_s_at,200854_at,0.967,0.967
200810_s_at,201088_at,0.967,0.967
200810_s_at,201114_x_at,0.967,0.967
200810_s_at,201124_at,-2.25,2.25
200810_s_at,201196_s_at,-1.373,1.373
200810_s_at,201197_at,-1.149,1.149
200810_s_at,201201_at,0.967,0.967
200810_s_at,201281_at,-1.587,1.587
200810_s_at,201342_at,0.967,0.967
200810_s_at,201384_s_at,-3.141,3.141
200810_s_at,201394_s_at,-2.484,2.484
200810_s_at,201395_at,5.666,849.86
200810_s_at,201397_at,1.861,1.861
200810_s_at,201591_s_at,-5.954,5.954
200810_s_at,201685_s_at,-2.484,2.484
200810_s_at,201897_s_at,1.325,1.325
200810_s_at,202011_at,-1.204,1.204
200810_s_at,202174_s_at,-4.342,4.342
200810_s_at,202270_at,2.422,2.422
200810_s_at,202307_s_at,-1.769,1.769
200810_s_at,202338_at,-1.149,1.149
200810_s_at,202580_x_at,1.966,1.966
200810_s_at,202589_at,-1.901,1.901
200810_s_at,202590_s_at,-1.204,1.204
200810_s_at,202613_at,0.967,0.967
200810_s_at,202690_s_at,1.325,1.325
200810_s_at,202808_at,-3.141,3.141
200810_s_at,202815_s_at,-2.25,2.25
200810_s_at,202954_at,1.244,1.244
200810_s_at,203188_at,2.114,2.114
200810_s_at,203208_s_at,-1.373,1.373
200810_s_at,203214_x_at,-1.373,1.373
200810_s_at,203265_s_at,1.241,1.241
200810_s_at,203358_s_at,-2.257,2.257
200810_s_at,203362_s_at,-1.149,1.149
200810_s_at,203380_x_at,-1.587,1.587
200810_s_at,203432_at,0.967,0.967
200810_s_at,203438_at,2.26,2.26
200810_s_at,203439_s_at,-1.711,1.711
200810_s_at,203625_x_at,-1.865,1.865
200811_at,200853_at,-2.728,2.728
200811_at,201124_at,2.855,2.855
200811_at,201395_at,-2.484,2.484
200811_at,201397_at,-2.109,2.109
200811_at,201591_s_at,5.023,849.86
200811_at,201897_s_at,-2.728,2.728
200811_at,201977_s_at,-1.912,1.912
200811_at,202105_at,-2.527,2.527
200811_at,202109_at,1.051,1.051
200811_at,202174_s_at,-3.914,3.914
200811_at,202370_s_at,1.602,1.602
200811_at,202589_at,3.135,3.135
200811_at,202590_s_at,-2.217,2.217
200811_at,202690_s_at,-2.728,2.728
200811_at,202725_at,-2.548,2.548
200811_at,202815_s_at,1.166,1.166
200811_at,202954_at,0.991,0.991
200811_at,203188_at,-3.222,3.222
200811_at,203358_s_at,2.603,2.603
200811_at,203438_at,-0.734,0.734
200811_at,203439_s_at,1.685,1.685
200811_at,203693_s_at,1.567,1.567
200822_x_at,200855_at,-2.403,2.403
200822_x_at,200996_at,-3.198,3.198
200822_x_at,201077_s_at,-1.749,1.749
200822_x_at,201088_at,1.349,849.86
200822_x_at,201140_s_at,0.967,0.967
200822_x_at,201201_at,1.861,849.86
200822_x_at,201266_at,-1.222,1.222
200822_x_at,201327_s_at,2.329,849.86
200822_x_at,201397_at,-0.905,0.905
200822_x_at,201479_at,2.329,849.86
200822_x_at,201508_at,0.405,0.405
200822_x_at,201584_s_at,1.049,849.86
200822_x_at,201761_at,-1.578,1.578
200822_x_at,201791_s_at,-0.618,0.618
200822_x_at,201833_at,-1.578,1.578
200822_x_at,201897_s_at,-2.209,2.209
200822_x_at,202117_at,-3.281,3.281
200822_x_at,202200_s_at,1.747,849.86
200822_x_at,202270_at,1.962,1.962
200822_x_at,202276_at,-0.729,0.729
200822_x_at,202307_s_at,-2.29,2.29
200822_x_at,202338_at,-1.15,1.15
200822_x_at,202409_at,0.405,0.405
200822_x_at,202487_s_at,-0.729,0.729
200822_x_at,202580_x_at,-0.905,0.905
200822_x_at,202589_at,0.733,0.733
200822_x_at,202613_at,1.861,849.86
200822_x_at,202666_s_at,1.049,849.86
200822_x_at,202705_at,1.75,849.86
200822_x_at,202754_at,-1.073,1.073
200822_x_at,202954_at,-0.727,0.727
200822_x_at,202962_at,0.967,0.967
200822_x_at,203071_at,0.405,0.405
200822_x_at,203208_s_at,0.73,0.73
200822_x_at,203213_at,-0.729,0.729
200822_x_at,203249_at,0.405,0.405
200822_x_at,203287_at,-0.618,0.618
200822_x_at,203296_s_at,0.405,0.405
200822_x_at,203358_s_at,0.733,0.733
200822_x_at,203405_at,-0.727,0.727
200822_x_at,203422_at,-0.618,0.618
200822_x_at,203428_s_at,1.75,849.86
